date,weekday,day_type,season,weather,is_public_holiday,is_university_break
2024-04-01,Monday,weekday,autumn,sunny,False,False
2024-04-02,Tuesday,weekday,autumn,sunny,False,False
2024-04-03,Wednesday,weekday,autumn,mild,False,False
2024-04-04,Thursday,weekday,autumn,cloudy,False,False
2024-04-05,Friday,weekday,autumn,mild,False,False
2024-04-06,Saturday,weekend,autumn,sunny,False,False
2024-04-07,Sunday,weekend,autumn,rainy,False,False
2024-04-08,Monday,weekday,autumn,sunny,False,True
2024-04-09,Tuesday,weekday,autumn,cloudy,False,True
2024-04-10,Wednesday,weekday,autumn,cloudy,False,True
2024-04-11,Thursday,weekday,autumn,cloudy,False,True
2024-04-12,Friday,weekday,autumn,rainy,False,True
2024-04-13,Saturday,weekend,autumn,mild,False,True
2024-04-14,Sunday,weekend,autumn,mild,False,True
2024-04-15,Monday,weekday,autumn,rainy,False,False
2024-04-16,Tuesday,weekday,autumn,mild,False,False
2024-04-17,Wednesday,weekday,autumn,cloudy,False,False
2024-04-18,Thursday,weekday,autumn,cloudy,False,False
2024-04-19,Friday,weekday,autumn,sunny,False,False
2024-04-20,Saturday,weekend,autumn,sunny,False,False
2024-04-21,Sunday,weekend,autumn,sunny,False,False
2024-04-22,Monday,weekday,autumn,sunny,False,False
2024-04-23,Tuesday,weekday,autumn,sunny,False,False
2024-04-24,Wednesday,weekday,autumn,sunny,False,False
2024-04-25,Thursday,weekday,autumn,mild,False,False
2024-04-26,Friday,weekday,autumn,mild,False,False
2024-04-27,Saturday,weekend,autumn,cloudy,False,False
2024-04-28,Sunday,weekend,autumn,sunny,False,False
2024-04-29,Monday,weekday,autumn,rainy,False,False
2024-04-30,Tuesday,weekday,autumn,mild,False,False
