po_item_source_key,po_source_key,product_id,ordered_quantity,order_unit
POI-PO-2024-04-01-2024-04-02-SUP_A-CROISSANT,PO-2024-04-01-2024-04-02-SUP_A,CROISSANT,28.000000,each
POI-PO-2024-04-01-2024-04-02-SUP_B-MILK_FULL,PO-2024-04-01-2024-04-02-SUP_B,MILK_FULL,15.000000,bottle
POI-PO-2024-04-01-2024-04-02-SUP_B-MILK_OAT,PO-2024-04-01-2024-04-02-SUP_B,MILK_OAT,14.000000,carton
POI-PO-2024-04-02-2024-04-03-SUP_A-CROISSANT,PO-2024-04-02-2024-04-03-SUP_A,CROISSANT,36.000000,each
POI-PO-2024-04-02-2024-04-03-SUP_B-MILK_FULL,PO-2024-04-02-2024-04-03-SUP_B,MILK_FULL,18.000000,bottle
POI-PO-2024-04-02-2024-04-03-SUP_B-MILK_OAT,PO-2024-04-02-2024-04-03-SUP_B,MILK_OAT,15.000000,carton
POI-PO-2024-04-02-2024-04-03-SUP_D-COFFEE_REGULAR,PO-2024-04-02-2024-04-03-SUP_D,COFFEE_REGULAR,8.000000,bag
POI-PO-2024-04-03-2024-04-04-SUP_A-CROISSANT,PO-2024-04-03-2024-04-04-SUP_A,CROISSANT,32.000000,each
POI-PO-2024-04-03-2024-04-04-SUP_B-MILK_FULL,PO-2024-04-03-2024-04-04-SUP_B,MILK_FULL,18.000000,bottle
POI-PO-2024-04-03-2024-04-04-SUP_B-MILK_OAT,PO-2024-04-03-2024-04-04-SUP_B,MILK_OAT,12.000000,carton
POI-PO-2024-04-04-2024-04-05-SUP_A-CROISSANT,PO-2024-04-04-2024-04-05-SUP_A,CROISSANT,32.000000,each
POI-PO-2024-04-04-2024-04-05-SUP_B-MILK_FULL,PO-2024-04-04-2024-04-05-SUP_B,MILK_FULL,19.000000,bottle
POI-PO-2024-04-04-2024-04-05-SUP_B-MILK_OAT,PO-2024-04-04-2024-04-05-SUP_B,MILK_OAT,16.000000,carton
POI-PO-2024-04-05-2024-04-06-SUP_A-CROISSANT,PO-2024-04-05-2024-04-06-SUP_A,CROISSANT,86.000000,each
POI-PO-2024-04-05-2024-04-06-SUP_B-MILK_FULL,PO-2024-04-05-2024-04-06-SUP_B,MILK_FULL,35.000000,bottle
POI-PO-2024-04-05-2024-04-06-SUP_B-MILK_OAT,PO-2024-04-05-2024-04-06-SUP_B,MILK_OAT,24.000000,carton
POI-PO-2024-04-05-2024-04-06-SUP_D-COFFEE_REGULAR,PO-2024-04-05-2024-04-06-SUP_D,COFFEE_REGULAR,8.000000,bag
POI-PO-2024-04-06-2024-04-08-SUP_A-CROISSANT,PO-2024-04-06-2024-04-08-SUP_A,CROISSANT,33.000000,each
POI-PO-2024-04-06-2024-04-08-SUP_B-MILK_FULL,PO-2024-04-06-2024-04-08-SUP_B,MILK_FULL,22.000000,bottle
POI-PO-2024-04-06-2024-04-08-SUP_B-MILK_OAT,PO-2024-04-06-2024-04-08-SUP_B,MILK_OAT,13.000000,carton
POI-PO-2024-04-06-2024-04-08-SUP_C-EGGS,PO-2024-04-06-2024-04-08-SUP_C,EGGS,9.000000,tray
POI-PO-2024-04-07-2024-04-08-SUP_A-CROISSANT,PO-2024-04-07-2024-04-08-SUP_A,CROISSANT,20.000000,each
POI-PO-2024-04-07-2024-04-08-SUP_B-MILK_FULL,PO-2024-04-07-2024-04-08-SUP_B,MILK_FULL,15.000000,bottle
POI-PO-2024-04-08-2024-04-09-SUP_A-CROISSANT,PO-2024-04-08-2024-04-09-SUP_A,CROISSANT,33.000000,each
POI-PO-2024-04-08-2024-04-09-SUP_B-MILK_FULL,PO-2024-04-08-2024-04-09-SUP_B,MILK_FULL,18.000000,bottle
POI-PO-2024-04-08-2024-04-09-SUP_B-MILK_OAT,PO-2024-04-08-2024-04-09-SUP_B,MILK_OAT,13.000000,carton
POI-PO-2024-04-08-2024-04-09-SUP_D-COFFEE_REGULAR,PO-2024-04-08-2024-04-09-SUP_D,COFFEE_REGULAR,8.000000,bag
POI-PO-2024-04-09-2024-04-10-SUP_A-CROISSANT,PO-2024-04-09-2024-04-10-SUP_A,CROISSANT,30.000000,each
POI-PO-2024-04-09-2024-04-10-SUP_B-MILK_FULL,PO-2024-04-09-2024-04-10-SUP_B,MILK_FULL,17.000000,bottle
POI-PO-2024-04-09-2024-04-10-SUP_B-MILK_OAT,PO-2024-04-09-2024-04-10-SUP_B,MILK_OAT,13.000000,carton
POI-PO-2024-04-10-2024-04-11-SUP_A-CROISSANT,PO-2024-04-10-2024-04-11-SUP_A,CROISSANT,31.000000,each
POI-PO-2024-04-10-2024-04-11-SUP_B-MILK_FULL,PO-2024-04-10-2024-04-11-SUP_B,MILK_FULL,18.000000,bottle
POI-PO-2024-04-10-2024-04-11-SUP_B-MILK_OAT,PO-2024-04-10-2024-04-11-SUP_B,MILK_OAT,12.000000,carton
POI-PO-2024-04-11-2024-04-12-SUP_A-CROISSANT,PO-2024-04-11-2024-04-12-SUP_A,CROISSANT,26.000000,each
POI-PO-2024-04-11-2024-04-12-SUP_B-MILK_FULL,PO-2024-04-11-2024-04-12-SUP_B,MILK_FULL,15.000000,bottle
POI-PO-2024-04-11-2024-04-12-SUP_B-MILK_OAT,PO-2024-04-11-2024-04-12-SUP_B,MILK_OAT,12.000000,carton
POI-PO-2024-04-11-2024-04-12-SUP_D-COFFEE_REGULAR,PO-2024-04-11-2024-04-12-SUP_D,COFFEE_REGULAR,8.000000,bag
POI-PO-2024-04-12-2024-04-13-SUP_A-CROISSANT,PO-2024-04-12-2024-04-13-SUP_A,CROISSANT,94.000000,each
POI-PO-2024-04-12-2024-04-13-SUP_B-MILK_FULL,PO-2024-04-12-2024-04-13-SUP_B,MILK_FULL,36.000000,bottle
POI-PO-2024-04-12-2024-04-13-SUP_B-MILK_OAT,PO-2024-04-12-2024-04-13-SUP_B,MILK_OAT,25.000000,carton
