date,revenue_target,actual_revenue,revenue_variance
2024-04-01,1598.51,1598.80,0.29
2024-04-02,1717.89,1717.90,0.01
2024-04-03,1776.38,1775.30,-1.08
2024-04-04,1562.28,1564.30,2.02
2024-04-05,1671.42,1671.40,-0.02
2024-04-06,1888.37,1887.10,-1.27
2024-04-07,1624.98,1626.90,1.92
2024-04-08,1649.68,1647.50,-2.18
2024-04-09,1573.98,1572.80,-1.18
2024-04-10,1520.88,1520.10,-0.78
2024-04-11,1575.94,1578.30,2.36
2024-04-12,1305.32,1305.50,0.18
2024-04-13,1661.57,1661.80,0.23
2024-04-14,2056.71,2056.40,-0.31
2024-04-15,1353.85,1355.40,1.55
2024-04-16,1500.71,1501.60,0.89
2024-04-17,1441.03,1440.70,-0.33
2024-04-18,1585.59,1584.50,-1.09
2024-04-19,1711.45,1712.40,0.95
2024-04-20,1892.05,1891.60,-0.45
2024-04-21,1824.57,1827.20,2.63
2024-04-22,1616.91,1617.30,0.39
2024-04-23,1608.72,1609.80,1.08
2024-04-24,1808.51,1809.30,0.79
2024-04-25,1653.95,1653.20,-0.75
2024-04-26,1553.34,1550.80,-2.54
2024-04-27,2102.18,2103.60,1.42
2024-04-28,1754.90,1754.50,-0.40
2024-04-29,1302.63,1301.00,-1.63
2024-04-30,1664.95,1664.90,-0.05
