receipt_item_source_key,receipt_source_key,po_item_source_key,product_id,invoice_quantity,received_quantity,damaged_quantity,accepted_quantity,wrong_item_flag,discrepancy_reason
GRI-POI-PO-2024-04-01-2024-04-02-SUP_A-CROISSANT,GR-PO-2024-04-01-2024-04-02-SUP_A,POI-PO-2024-04-01-2024-04-02-SUP_A-CROISSANT,CROISSANT,28.000000,28.000000,0.000000,28.000000,False,NONE
GRI-POI-PO-2024-04-01-2024-04-02-SUP_B-MILK_FULL,GR-PO-2024-04-01-2024-04-02-SUP_B,POI-PO-2024-04-01-2024-04-02-SUP_B-MILK_FULL,MILK_FULL,15.000000,15.000000,0.000000,15.000000,False,NONE
GRI-POI-PO-2024-04-01-2024-04-02-SUP_B-MILK_OAT,GR-PO-2024-04-01-2024-04-02-SUP_B,POI-PO-2024-04-01-2024-04-02-SUP_B-MILK_OAT,MILK_OAT,14.000000,14.000000,0.000000,14.000000,False,NONE
GRI-POI-PO-2024-04-02-2024-04-03-SUP_A-CROISSANT,GR-PO-2024-04-02-2024-04-03-SUP_A,POI-PO-2024-04-02-2024-04-03-SUP_A-CROISSANT,CROISSANT,36.000000,36.000000,0.000000,36.000000,False,NONE
GRI-POI-PO-2024-04-02-2024-04-03-SUP_B-MILK_FULL,GR-PO-2024-04-02-2024-04-03-SUP_B,POI-PO-2024-04-02-2024-04-03-SUP_B-MILK_FULL,MILK_FULL,18.000000,18.000000,0.000000,18.000000,False,NONE
GRI-POI-PO-2024-04-02-2024-04-03-SUP_B-MILK_OAT,GR-PO-2024-04-02-2024-04-03-SUP_B,POI-PO-2024-04-02-2024-04-03-SUP_B-MILK_OAT,MILK_OAT,15.000000,15.000000,0.000000,15.000000,False,NONE
GRI-POI-PO-2024-04-02-2024-04-03-SUP_D-COFFEE_REGULAR,GR-PO-2024-04-02-2024-04-03-SUP_D,POI-PO-2024-04-02-2024-04-03-SUP_D-COFFEE_REGULAR,COFFEE_REGULAR,8.000000,8.000000,0.000000,8.000000,False,NONE
GRI-POI-PO-2024-04-03-2024-04-04-SUP_A-CROISSANT,GR-PO-2024-04-03-2024-04-04-SUP_A,POI-PO-2024-04-03-2024-04-04-SUP_A-CROISSANT,CROISSANT,32.000000,32.000000,0.000000,32.000000,False,NONE
GRI-POI-PO-2024-04-03-2024-04-04-SUP_B-MILK_FULL,GR-PO-2024-04-03-2024-04-04-SUP_B,POI-PO-2024-04-03-2024-04-04-SUP_B-MILK_FULL,MILK_FULL,18.000000,18.000000,0.000000,18.000000,False,NONE
GRI-POI-PO-2024-04-03-2024-04-04-SUP_B-MILK_OAT,GR-PO-2024-04-03-2024-04-04-SUP_B,POI-PO-2024-04-03-2024-04-04-SUP_B-MILK_OAT,MILK_OAT,12.000000,12.000000,0.000000,12.000000,False,NONE
GRI-POI-PO-2024-04-04-2024-04-05-SUP_A-CROISSANT,GR-PO-2024-04-04-2024-04-05-SUP_A,POI-PO-2024-04-04-2024-04-05-SUP_A-CROISSANT,CROISSANT,32.000000,32.000000,0.000000,32.000000,False,NONE
GRI-POI-PO-2024-04-04-2024-04-05-SUP_B-MILK_FULL,GR-PO-2024-04-04-2024-04-05-SUP_B,POI-PO-2024-04-04-2024-04-05-SUP_B-MILK_FULL,MILK_FULL,19.000000,19.000000,0.000000,19.000000,False,NONE
GRI-POI-PO-2024-04-04-2024-04-05-SUP_B-MILK_OAT,GR-PO-2024-04-04-2024-04-05-SUP_B,POI-PO-2024-04-04-2024-04-05-SUP_B-MILK_OAT,MILK_OAT,14.000000,14.000000,0.000000,14.000000,False,NONE
GRI-POI-PO-2024-04-05-2024-04-06-SUP_A-CROISSANT,GR-PO-2024-04-05-2024-04-06-SUP_A,POI-PO-2024-04-05-2024-04-06-SUP_A-CROISSANT,CROISSANT,86.000000,86.000000,0.000000,86.000000,False,NONE
GRI-POI-PO-2024-04-05-2024-04-06-SUP_B-MILK_FULL,GR-PO-2024-04-05-2024-04-06-SUP_B,POI-PO-2024-04-05-2024-04-06-SUP_B-MILK_FULL,MILK_FULL,35.000000,35.000000,0.000000,35.000000,False,NONE
GRI-POI-PO-2024-04-05-2024-04-06-SUP_B-MILK_OAT,GR-PO-2024-04-05-2024-04-06-SUP_B,POI-PO-2024-04-05-2024-04-06-SUP_B-MILK_OAT,MILK_OAT,24.000000,24.000000,0.000000,24.000000,False,NONE
GRI-POI-PO-2024-04-05-2024-04-06-SUP_D-COFFEE_REGULAR,GR-PO-2024-04-05-2024-04-06-SUP_D,POI-PO-2024-04-05-2024-04-06-SUP_D-COFFEE_REGULAR,COFFEE_REGULAR,8.000000,8.000000,0.000000,8.000000,False,NONE
GRI-POI-PO-2024-04-06-2024-04-08-SUP_A-CROISSANT,GR-PO-2024-04-06-2024-04-08-SUP_A,POI-PO-2024-04-06-2024-04-08-SUP_A-CROISSANT,CROISSANT,33.000000,33.000000,0.000000,33.000000,False,NONE
GRI-POI-PO-2024-04-06-2024-04-08-SUP_B-MILK_FULL,GR-PO-2024-04-06-2024-04-08-SUP_B,POI-PO-2024-04-06-2024-04-08-SUP_B-MILK_FULL,MILK_FULL,19.000000,19.000000,0.000000,19.000000,False,NONE
GRI-POI-PO-2024-04-06-2024-04-08-SUP_B-MILK_OAT,GR-PO-2024-04-06-2024-04-08-SUP_B,POI-PO-2024-04-06-2024-04-08-SUP_B-MILK_OAT,MILK_OAT,13.000000,13.000000,0.000000,13.000000,False,NONE
GRI-POI-PO-2024-04-06-2024-04-08-SUP_C-EGGS,GR-PO-2024-04-06-2024-04-08-SUP_C,POI-PO-2024-04-06-2024-04-08-SUP_C-EGGS,EGGS,9.000000,9.000000,0.000000,9.000000,False,NONE
GRI-POI-PO-2024-04-07-2024-04-08-SUP_A-CROISSANT,GR-PO-2024-04-07-2024-04-08-SUP_A,POI-PO-2024-04-07-2024-04-08-SUP_A-CROISSANT,CROISSANT,20.000000,20.000000,0.000000,20.000000,False,NONE
GRI-POI-PO-2024-04-07-2024-04-08-SUP_B-MILK_FULL,GR-PO-2024-04-07-2024-04-08-SUP_B,POI-PO-2024-04-07-2024-04-08-SUP_B-MILK_FULL,MILK_FULL,15.000000,15.000000,0.000000,15.000000,False,NONE
GRI-POI-PO-2024-04-08-2024-04-09-SUP_A-CROISSANT,GR-PO-2024-04-08-2024-04-09-SUP_A,POI-PO-2024-04-08-2024-04-09-SUP_A-CROISSANT,CROISSANT,20.000000,20.000000,0.000000,20.000000,False,NONE
GRI-POI-PO-2024-04-08-2024-04-09-SUP_B-MILK_FULL,GR-PO-2024-04-08-2024-04-09-SUP_B,POI-PO-2024-04-08-2024-04-09-SUP_B-MILK_FULL,MILK_FULL,15.000000,15.000000,0.000000,15.000000,False,NONE
GRI-POI-PO-2024-04-08-2024-04-09-SUP_B-MILK_OAT,GR-PO-2024-04-08-2024-04-09-SUP_B,POI-PO-2024-04-08-2024-04-09-SUP_B-MILK_OAT,MILK_OAT,13.000000,13.000000,0.000000,13.000000,False,NONE
GRI-POI-PO-2024-04-08-2024-04-09-SUP_D-COFFEE_REGULAR,GR-PO-2024-04-08-2024-04-09-SUP_D,POI-PO-2024-04-08-2024-04-09-SUP_D-COFFEE_REGULAR,COFFEE_REGULAR,8.000000,8.000000,0.000000,8.000000,False,NONE
GRI-POI-PO-2024-04-09-2024-04-10-SUP_A-CROISSANT,GR-PO-2024-04-09-2024-04-10-SUP_A,POI-PO-2024-04-09-2024-04-10-SUP_A-CROISSANT,CROISSANT,23.000000,23.000000,0.000000,23.000000,False,NONE
