movement_source_key,product_id,movement_datetime,movement_type,quantity_change,source_type,source_id,reason_code,recorded_by
OPENING-2024-04-01-MILK_FULL,MILK_FULL,2024-04-01T05:00:00+11:00,ADJUSTMENT,30.000000,OPENING_BALANCE,OPENING-2024-04-01-MILK_FULL,OPENING_BALANCE,Manager
OPENING-2024-04-01-MILK_SKIM,MILK_SKIM,2024-04-01T05:00:00+11:00,ADJUSTMENT,6.000000,OPENING_BALANCE,OPENING-2024-04-01-MILK_SKIM,OPENING_BALANCE,Manager
OPENING-2024-04-01-MILK_ALMOND,MILK_ALMOND,2024-04-01T05:00:00+11:00,ADJUSTMENT,8.000000,OPENING_BALANCE,OPENING-2024-04-01-MILK_ALMOND,OPENING_BALANCE,Manager
OPENING-2024-04-01-MILK_OAT,MILK_OAT,2024-04-01T05:00:00+11:00,ADJUSTMENT,16.000000,OPENING_BALANCE,OPENING-2024-04-01-MILK_OAT,OPENING_BALANCE,Manager
OPENING-2024-04-01-MILK_SOY,MILK_SOY,2024-04-01T05:00:00+11:00,ADJUSTMENT,8.000000,OPENING_BALANCE,OPENING-2024-04-01-MILK_SOY,OPENING_BALANCE,Manager
OPENING-2024-04-01-MILK_LACTOSE_FREE,MILK_LACTOSE_FREE,2024-04-01T05:00:00+11:00,ADJUSTMENT,8.000000,OPENING_BALANCE,OPENING-2024-04-01-MILK_LACTOSE_FREE,OPENING_BALANCE,Manager
OPENING-2024-04-01-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-01T05:00:00+11:00,ADJUSTMENT,8.000000,OPENING_BALANCE,OPENING-2024-04-01-COFFEE_REGULAR,OPENING_BALANCE,Manager
OPENING-2024-04-01-CROISSANT,CROISSANT,2024-04-01T05:00:00+11:00,ADJUSTMENT,40.000000,OPENING_BALANCE,OPENING-2024-04-01-CROISSANT,OPENING_BALANCE,Manager
OPENING-2024-04-01-EGGS,EGGS,2024-04-01T05:00:00+11:00,ADJUSTMENT,225.000000,OPENING_BALANCE,OPENING-2024-04-01-EGGS,OPENING_BALANCE,Manager
MOV-POS-20240401-DEMO_CROISSANT-CROISSANT,CROISSANT,2024-04-01T17:00:00+11:00,USE,-30.000000,POS_SALE,POS-20240401-DEMO_CROISSANT,,SYSTEM
MOV-POS-20240401-DEMO_EGG_BREAKFAST-EGGS,EGGS,2024-04-01T17:00:00+11:00,USE,-10.000000,POS_SALE,POS-20240401-DEMO_EGG_BREAKFAST,,SYSTEM
MOV-POS-20240401-DEMO_EGG_SANDWICH-EGGS,EGGS,2024-04-01T17:00:00+11:00,USE,-14.000000,POS_SALE,POS-20240401-DEMO_EGG_SANDWICH,,SYSTEM
MOV-POS-20240401-DEMO_FLAT_WHITE-MILK_FULL,MILK_FULL,2024-04-01T17:00:00+11:00,USE,-9.240000,POS_SALE,POS-20240401-DEMO_FLAT_WHITE,,SYSTEM
MOV-POS-20240401-DEMO_FLAT_WHITE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-01T17:00:00+11:00,USE,-1.386000,POS_SALE,POS-20240401-DEMO_FLAT_WHITE,,SYSTEM
MOV-POS-20240401-DEMO_HOT_CHOCOLATE-MILK_FULL,MILK_FULL,2024-04-01T17:00:00+11:00,USE,-3.500000,POS_SALE,POS-20240401-DEMO_HOT_CHOCOLATE,,SYSTEM
MOV-POS-20240401-DEMO_ICED_LATTE-MILK_FULL,MILK_FULL,2024-04-01T17:00:00+11:00,USE,-5.333333,POS_SALE,POS-20240401-DEMO_ICED_LATTE,,SYSTEM
MOV-POS-20240401-DEMO_ICED_LATTE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-01T17:00:00+11:00,USE,-0.576000,POS_SALE,POS-20240401-DEMO_ICED_LATTE,,SYSTEM
MOV-POS-20240401-DEMO_OAT_LATTE-MILK_OAT,MILK_OAT,2024-04-01T17:00:00+11:00,USE,-9.750000,POS_SALE,POS-20240401-DEMO_OAT_LATTE,,SYSTEM
MOV-POS-20240401-DEMO_OAT_LATTE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-01T17:00:00+11:00,USE,-0.702000,POS_SALE,POS-20240401-DEMO_OAT_LATTE,,SYSTEM
MOV-POS-20240401-DEMO_SMOOTHIE-MILK_OAT,MILK_OAT,2024-04-01T17:00:00+11:00,USE,-3.000000,POS_SALE,POS-20240401-DEMO_SMOOTHIE,,SYSTEM
MOV-WASTE-2024-04-01-MILK_FULL,MILK_FULL,2024-04-01T17:30:00+11:00,WASTE,-0.155000,WASTE_LOG,WASTE-2024-04-01-MILK_FULL,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-01-MILK_OAT,MILK_OAT,2024-04-01T17:30:00+11:00,WASTE,-0.104000,WASTE_LOG,WASTE-2024-04-01-MILK_OAT,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-01-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-01T17:30:00+11:00,WASTE,-0.013000,WASTE_LOG,WASTE-2024-04-01-COFFEE_REGULAR,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-01-CROISSANT,CROISSANT,2024-04-01T17:30:00+11:00,WASTE,-1.000000,WASTE_LOG,WASTE-2024-04-01-CROISSANT,SYNTHETIC_NORMAL_WASTE,Manager
MOV-GRI-POI-PO-2024-04-01-2024-04-02-SUP_A-CROISSANT,CROISSANT,2024-04-02T08:00:00+11:00,RECEIVE,28.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-01-2024-04-02-SUP_A-CROISSANT,,Manager
MOV-GRI-POI-PO-2024-04-01-2024-04-02-SUP_B-MILK_FULL,MILK_FULL,2024-04-02T08:00:00+11:00,RECEIVE,15.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-01-2024-04-02-SUP_B-MILK_FULL,,Manager
MOV-GRI-POI-PO-2024-04-01-2024-04-02-SUP_B-MILK_OAT,MILK_OAT,2024-04-02T08:00:00+11:00,RECEIVE,14.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-01-2024-04-02-SUP_B-MILK_OAT,,Manager
MOV-POS-20240402-DEMO_CROISSANT-CROISSANT,CROISSANT,2024-04-02T17:00:00+11:00,USE,-32.000000,POS_SALE,POS-20240402-DEMO_CROISSANT,,SYSTEM
MOV-POS-20240402-DEMO_EGG_BREAKFAST-EGGS,EGGS,2024-04-02T17:00:00+11:00,USE,-12.000000,POS_SALE,POS-20240402-DEMO_EGG_BREAKFAST,,SYSTEM
MOV-POS-20240402-DEMO_EGG_SANDWICH-EGGS,EGGS,2024-04-02T17:00:00+11:00,USE,-14.000000,POS_SALE,POS-20240402-DEMO_EGG_SANDWICH,,SYSTEM
MOV-POS-20240402-DEMO_FLAT_WHITE-MILK_FULL,MILK_FULL,2024-04-02T17:00:00+11:00,USE,-9.960000,POS_SALE,POS-20240402-DEMO_FLAT_WHITE,,SYSTEM
