pos_source_key,sale_date,menu_item_id,quantity_sold,unit_price,gross_revenue
POS-20240401-DEMO_CROISSANT,2024-04-01,DEMO_CROISSANT,30,6.00,180.00
POS-20240401-DEMO_EGG_BREAKFAST,2024-04-01,DEMO_EGG_BREAKFAST,5,22.00,110.00
POS-20240401-DEMO_EGG_SANDWICH,2024-04-01,DEMO_EGG_SANDWICH,14,13.00,182.00
POS-20240401-DEMO_FLAT_WHITE,2024-04-01,DEMO_FLAT_WHITE,77,5.50,423.50
POS-20240401-DEMO_HOT_CHOCOLATE,2024-04-01,DEMO_HOT_CHOCOLATE,21,6.00,126.00
POS-20240401-DEMO_ICED_LATTE,2024-04-01,DEMO_ICED_LATTE,32,6.50,208.00
POS-20240401-DEMO_OAT_LATTE,2024-04-01,DEMO_OAT_LATTE,39,6.20,241.80
POS-20240401-DEMO_SMOOTHIE,2024-04-01,DEMO_SMOOTHIE,15,8.50,127.50
POS-20240402-DEMO_CROISSANT,2024-04-02,DEMO_CROISSANT,32,6.00,192.00
POS-20240402-DEMO_EGG_BREAKFAST,2024-04-02,DEMO_EGG_BREAKFAST,6,22.00,132.00
POS-20240402-DEMO_EGG_SANDWICH,2024-04-02,DEMO_EGG_SANDWICH,14,13.00,182.00
POS-20240402-DEMO_FLAT_WHITE,2024-04-02,DEMO_FLAT_WHITE,83,5.50,456.50
POS-20240402-DEMO_HOT_CHOCOLATE,2024-04-02,DEMO_HOT_CHOCOLATE,23,6.00,138.00
POS-20240402-DEMO_ICED_LATTE,2024-04-02,DEMO_ICED_LATTE,34,6.50,221.00
POS-20240402-DEMO_OAT_LATTE,2024-04-02,DEMO_OAT_LATTE,42,6.20,260.40
POS-20240402-DEMO_SMOOTHIE,2024-04-02,DEMO_SMOOTHIE,16,8.50,136.00
POS-20240403-DEMO_CROISSANT,2024-04-03,DEMO_CROISSANT,34,6.00,204.00
POS-20240403-DEMO_EGG_BREAKFAST,2024-04-03,DEMO_EGG_BREAKFAST,5,22.00,110.00
POS-20240403-DEMO_EGG_SANDWICH,2024-04-03,DEMO_EGG_SANDWICH,16,13.00,208.00
POS-20240403-DEMO_FLAT_WHITE,2024-04-03,DEMO_FLAT_WHITE,88,5.50,484.00
POS-20240403-DEMO_HOT_CHOCOLATE,2024-04-03,DEMO_HOT_CHOCOLATE,24,6.00,144.00
