po_source_key,supplier_id,order_datetime,expected_delivery_date,order_status,ordered_by
PO-2024-04-01-2024-04-02-SUP_A,SUP_A,2024-04-01T14:00:00+11:00,2024-04-02,RECEIVED,Manager
PO-2024-04-01-2024-04-02-SUP_B,SUP_B,2024-04-01T14:00:00+11:00,2024-04-02,RECEIVED,Manager
PO-2024-04-02-2024-04-03-SUP_A,SUP_A,2024-04-02T14:00:00+11:00,2024-04-03,RECEIVED,Manager
PO-2024-04-02-2024-04-03-SUP_B,SUP_B,2024-04-02T14:00:00+11:00,2024-04-03,RECEIVED,Manager
PO-2024-04-02-2024-04-03-SUP_D,SUP_D,2024-04-02T14:00:00+11:00,2024-04-03,RECEIVED,Manager
PO-2024-04-03-2024-04-04-SUP_A,SUP_A,2024-04-03T14:00:00+11:00,2024-04-04,RECEIVED,Manager
PO-2024-04-03-2024-04-04-SUP_B,SUP_B,2024-04-03T14:00:00+11:00,2024-04-04,RECEIVED,Manager
PO-2024-04-04-2024-04-05-SUP_A,SUP_A,2024-04-04T14:00:00+11:00,2024-04-05,RECEIVED,Manager
PO-2024-04-04-2024-04-05-SUP_B,SUP_B,2024-04-04T14:00:00+11:00,2024-04-05,RECEIVED,Manager
PO-2024-04-05-2024-04-06-SUP_A,SUP_A,2024-04-05T14:00:00+11:00,2024-04-06,RECEIVED,Manager
PO-2024-04-05-2024-04-06-SUP_B,SUP_B,2024-04-05T14:00:00+11:00,2024-04-06,RECEIVED,Manager
PO-2024-04-05-2024-04-06-SUP_D,SUP_D,2024-04-05T14:00:00+11:00,2024-04-06,RECEIVED,Manager
PO-2024-04-06-2024-04-08-SUP_A,SUP_A,2024-04-06T14:00:00+11:00,2024-04-08,RECEIVED,Manager
PO-2024-04-06-2024-04-08-SUP_B,SUP_B,2024-04-06T14:00:00+11:00,2024-04-08,RECEIVED,Manager
PO-2024-04-06-2024-04-08-SUP_C,SUP_C,2024-04-06T14:00:00+11:00,2024-04-08,RECEIVED,Manager
PO-2024-04-07-2024-04-08-SUP_A,SUP_A,2024-04-07T14:00:00+10:00,2024-04-08,RECEIVED,Manager
PO-2024-04-07-2024-04-08-SUP_B,SUP_B,2024-04-07T14:00:00+10:00,2024-04-08,RECEIVED,Manager
PO-2024-04-08-2024-04-09-SUP_A,SUP_A,2024-04-08T14:00:00+10:00,2024-04-09,RECEIVED,Manager
PO-2024-04-08-2024-04-09-SUP_B,SUP_B,2024-04-08T14:00:00+10:00,2024-04-09,RECEIVED,Manager
PO-2024-04-08-2024-04-09-SUP_D,SUP_D,2024-04-08T14:00:00+10:00,2024-04-09,RECEIVED,Manager
PO-2024-04-09-2024-04-10-SUP_A,SUP_A,2024-04-09T14:00:00+10:00,2024-04-10,RECEIVED,Manager
PO-2024-04-09-2024-04-10-SUP_B,SUP_B,2024-04-09T14:00:00+10:00,2024-04-10,RECEIVED,Manager
PO-2024-04-10-2024-04-11-SUP_A,SUP_A,2024-04-10T14:00:00+10:00,2024-04-11,RECEIVED,Manager
PO-2024-04-10-2024-04-11-SUP_B,SUP_B,2024-04-10T14:00:00+10:00,2024-04-11,RECEIVED,Manager
PO-2024-04-11-2024-04-12-SUP_A,SUP_A,2024-04-11T14:00:00+10:00,2024-04-12,RECEIVED,Manager
PO-2024-04-11-2024-04-12-SUP_B,SUP_B,2024-04-11T14:00:00+10:00,2024-04-12,RECEIVED,Manager
PO-2024-04-11-2024-04-12-SUP_D,SUP_D,2024-04-11T14:00:00+10:00,2024-04-12,RECEIVED,Manager
PO-2024-04-12-2024-04-13-SUP_A,SUP_A,2024-04-12T14:00:00+10:00,2024-04-13,RECEIVED,Manager
PO-2024-04-12-2024-04-13-SUP_B,SUP_B,2024-04-12T14:00:00+10:00,2024-04-13,RECEIVED,Manager
PO-2024-04-13-2024-04-15-SUP_A,SUP_A,2024-04-13T14:00:00+10:00,2024-04-15,RECEIVED,Manager
PO-2024-04-13-2024-04-15-SUP_B,SUP_B,2024-04-13T14:00:00+10:00,2024-04-15,RECEIVED,Manager
PO-2024-04-13-2024-04-15-SUP_C,SUP_C,2024-04-13T14:00:00+10:00,2024-04-15,RECEIVED,Manager
PO-2024-04-13-2024-04-15-SUP_D,SUP_D,2024-04-13T14:00:00+10:00,2024-04-15,RECEIVED,Manager
PO-2024-04-14-2024-04-15-SUP_A,SUP_A,2024-04-14T14:00:00+10:00,2024-04-15,RECEIVED,Manager
PO-2024-04-14-2024-04-15-SUP_B,SUP_B,2024-04-14T14:00:00+10:00,2024-04-15,RECEIVED,Manager
PO-2024-04-15-2024-04-16-SUP_A,SUP_A,2024-04-15T14:00:00+10:00,2024-04-16,RECEIVED,Manager
PO-2024-04-15-2024-04-16-SUP_B,SUP_B,2024-04-15T14:00:00+10:00,2024-04-16,RECEIVED,Manager
PO-2024-04-16-2024-04-17-SUP_A,SUP_A,2024-04-16T14:00:00+10:00,2024-04-17,RECEIVED,Manager
PO-2024-04-16-2024-04-17-SUP_B,SUP_B,2024-04-16T14:00:00+10:00,2024-04-17,RECEIVED,Manager
PO-2024-04-17-2024-04-18-SUP_A,SUP_A,2024-04-17T14:00:00+10:00,2024-04-18,RECEIVED,Manager
PO-2024-04-17-2024-04-18-SUP_B,SUP_B,2024-04-17T14:00:00+10:00,2024-04-18,RECEIVED,Manager
PO-2024-04-18-2024-04-19-SUP_A,SUP_A,2024-04-18T14:00:00+10:00,2024-04-19,RECEIVED,Manager
PO-2024-04-18-2024-04-19-SUP_B,SUP_B,2024-04-18T14:00:00+10:00,2024-04-19,RECEIVED,Manager
PO-2024-04-18-2024-04-19-SUP_D,SUP_D,2024-04-18T14:00:00+10:00,2024-04-19,RECEIVED,Manager
PO-2024-04-19-2024-04-20-SUP_A,SUP_A,2024-04-19T14:00:00+10:00,2024-04-20,RECEIVED,Manager
PO-2024-04-19-2024-04-20-SUP_B,SUP_B,2024-04-19T14:00:00+10:00,2024-04-20,RECEIVED,Manager
PO-2024-04-20-2024-04-22-SUP_A,SUP_A,2024-04-20T14:00:00+10:00,2024-04-22,RECEIVED,Manager
PO-2024-04-20-2024-04-22-SUP_B,SUP_B,2024-04-20T14:00:00+10:00,2024-04-22,RECEIVED,Manager
PO-2024-04-20-2024-04-22-SUP_D,SUP_D,2024-04-20T14:00:00+10:00,2024-04-22,RECEIVED,Manager
PO-2024-04-21-2024-04-22-SUP_A,SUP_A,2024-04-21T14:00:00+10:00,2024-04-22,RECEIVED,Manager
PO-2024-04-22-2024-04-23-SUP_A,SUP_A,2024-04-22T14:00:00+10:00,2024-04-23,RECEIVED,Manager
PO-2024-04-22-2024-04-23-SUP_B,SUP_B,2024-04-22T14:00:00+10:00,2024-04-23,RECEIVED,Manager
PO-2024-04-22-2024-04-24-SUP_C,SUP_C,2024-04-22T14:00:00+10:00,2024-04-24,RECEIVED,Manager
PO-2024-04-23-2024-04-24-SUP_A,SUP_A,2024-04-23T14:00:00+10:00,2024-04-24,RECEIVED,Manager
PO-2024-04-23-2024-04-24-SUP_B,SUP_B,2024-04-23T14:00:00+10:00,2024-04-24,RECEIVED,Manager
PO-2024-04-23-2024-04-24-SUP_D,SUP_D,2024-04-23T14:00:00+10:00,2024-04-24,RECEIVED,Manager
PO-2024-04-24-2024-04-25-SUP_A,SUP_A,2024-04-24T14:00:00+10:00,2024-04-25,RECEIVED,Manager
PO-2024-04-24-2024-04-25-SUP_B,SUP_B,2024-04-24T14:00:00+10:00,2024-04-25,RECEIVED,Manager
PO-2024-04-25-2024-04-26-SUP_A,SUP_A,2024-04-25T14:00:00+10:00,2024-04-26,RECEIVED,Manager
PO-2024-04-25-2024-04-26-SUP_B,SUP_B,2024-04-25T14:00:00+10:00,2024-04-26,RECEIVED,Manager
PO-2024-04-26-2024-04-27-SUP_A,SUP_A,2024-04-26T14:00:00+10:00,2024-04-27,RECEIVED,Manager
PO-2024-04-26-2024-04-27-SUP_B,SUP_B,2024-04-26T14:00:00+10:00,2024-04-27,RECEIVED,Manager
PO-2024-04-26-2024-04-27-SUP_D,SUP_D,2024-04-26T14:00:00+10:00,2024-04-27,RECEIVED,Manager
PO-2024-04-27-2024-04-29-SUP_A,SUP_A,2024-04-27T14:00:00+10:00,2024-04-29,RECEIVED,Manager
PO-2024-04-27-2024-04-29-SUP_B,SUP_B,2024-04-27T14:00:00+10:00,2024-04-29,RECEIVED,Manager
PO-2024-04-28-2024-04-29-SUP_A,SUP_A,2024-04-28T14:00:00+10:00,2024-04-29,RECEIVED,Manager
PO-2024-04-29-2024-04-30-SUP_A,SUP_A,2024-04-29T14:00:00+10:00,2024-04-30,RECEIVED,Manager
PO-2024-04-29-2024-04-30-SUP_B,SUP_B,2024-04-29T14:00:00+10:00,2024-04-30,RECEIVED,Manager
PO-2024-04-29-2024-05-01-SUP_C,SUP_C,2024-04-29T14:00:00+10:00,2024-05-01,SUBMITTED,Manager
PO-2024-04-30-2024-05-01-SUP_A,SUP_A,2024-04-30T14:00:00+10:00,2024-05-01,SUBMITTED,Manager
PO-2024-04-30-2024-05-01-SUP_B,SUP_B,2024-04-30T14:00:00+10:00,2024-05-01,SUBMITTED,Manager
PO-2024-04-30-2024-05-01-SUP_D,SUP_D,2024-04-30T14:00:00+10:00,2024-05-01,SUBMITTED,Manager
