stocktake_item_source_key,stocktake_source_key,product_id,inventory_unit,physical_quantity,system_quantity,variance,review_status
STI-2024-04-01-MILK_FULL,ST-2024-04-01,MILK_FULL,bottle,11.771667,11.771667,0.000000,MATCH
STI-2024-04-01-MILK_SKIM,ST-2024-04-01,MILK_SKIM,bottle,6.000000,6.000000,0.000000,MATCH
STI-2024-04-01-MILK_ALMOND,ST-2024-04-01,MILK_ALMOND,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-01-MILK_OAT,ST-2024-04-01,MILK_OAT,carton,3.146000,3.146000,0.000000,MATCH
STI-2024-04-01-MILK_SOY,ST-2024-04-01,MILK_SOY,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-01-MILK_LACTOSE_FREE,ST-2024-04-01,MILK_LACTOSE_FREE,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-01-COFFEE_REGULAR,ST-2024-04-01,COFFEE_REGULAR,bag,5.323000,5.323000,0.000000,MATCH
STI-2024-04-01-CROISSANT,ST-2024-04-01,CROISSANT,each,9.000000,9.000000,0.000000,MATCH
STI-2024-04-01-EGGS,ST-2024-04-01,EGGS,each,201.000000,201.000000,0.000000,MATCH
STI-2024-04-02-MILK_FULL,ST-2024-04-02,MILK_FULL,bottle,7.150667,7.150667,0.000000,MATCH
STI-2024-04-02-MILK_SKIM,ST-2024-04-02,MILK_SKIM,bottle,6.000000,6.000000,0.000000,MATCH
STI-2024-04-02-MILK_ALMOND,ST-2024-04-02,MILK_ALMOND,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-02-MILK_OAT,ST-2024-04-02,MILK_OAT,carton,3.372000,3.372000,0.000000,MATCH
STI-2024-04-02-MILK_SOY,ST-2024-04-02,MILK_SOY,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-02-MILK_LACTOSE_FREE,ST-2024-04-02,MILK_LACTOSE_FREE,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-02-COFFEE_REGULAR,ST-2024-04-02,COFFEE_REGULAR,bag,2.448000,2.448000,0.000000,MATCH
STI-2024-04-02-CROISSANT,ST-2024-04-02,CROISSANT,each,3.000000,3.000000,0.000000,MATCH
STI-2024-04-02-EGGS,ST-2024-04-02,EGGS,each,175.000000,175.000000,0.000000,MATCH
STI-2024-04-03-MILK_FULL,ST-2024-04-03,MILK_FULL,bottle,5.026334,5.026334,0.000000,MATCH
STI-2024-04-03-MILK_SKIM,ST-2024-04-03,MILK_SKIM,bottle,6.000000,6.000000,0.000000,MATCH
STI-2024-04-03-MILK_ALMOND,ST-2024-04-03,MILK_ALMOND,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-03-MILK_OAT,ST-2024-04-03,MILK_OAT,carton,3.847000,3.847000,0.000000,MATCH
STI-2024-04-03-MILK_SOY,ST-2024-04-03,MILK_SOY,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-03-MILK_LACTOSE_FREE,ST-2024-04-03,MILK_LACTOSE_FREE,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-03-COFFEE_REGULAR,ST-2024-04-03,COFFEE_REGULAR,bag,7.477000,7.477000,0.000000,MATCH
STI-2024-04-03-CROISSANT,ST-2024-04-03,CROISSANT,each,3.000000,3.000000,0.000000,MATCH
STI-2024-04-03-EGGS,ST-2024-04-03,EGGS,each,149.000000,149.000000,0.000000,MATCH
STI-2024-04-04-MILK_FULL,ST-2024-04-04,MILK_FULL,bottle,5.422667,5.422667,0.000000,MATCH
STI-2024-04-04-MILK_SKIM,ST-2024-04-04,MILK_SKIM,bottle,6.000000,6.000000,0.000000,MATCH
STI-2024-04-04-MILK_ALMOND,ST-2024-04-04,MILK_ALMOND,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-04-MILK_OAT,ST-2024-04-04,MILK_OAT,carton,3.178000,3.178000,0.000000,MATCH
STI-2024-04-04-MILK_SOY,ST-2024-04-04,MILK_SOY,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-04-MILK_LACTOSE_FREE,ST-2024-04-04,MILK_LACTOSE_FREE,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-04-COFFEE_REGULAR,ST-2024-04-04,COFFEE_REGULAR,bag,4.877000,4.877000,0.000000,MATCH
STI-2024-04-04-CROISSANT,ST-2024-04-04,CROISSANT,each,4.000000,4.000000,0.000000,MATCH
STI-2024-04-04-EGGS,ST-2024-04-04,EGGS,each,125.000000,125.000000,0.000000,MATCH
STI-2024-04-05-MILK_FULL,ST-2024-04-05,MILK_FULL,bottle,5.514334,5.514334,0.000000,MATCH
STI-2024-04-05-MILK_SKIM,ST-2024-04-05,MILK_SKIM,bottle,6.000000,6.000000,0.000000,MATCH
STI-2024-04-05-MILK_ALMOND,ST-2024-04-05,MILK_ALMOND,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-05-MILK_OAT,ST-2024-04-05,MILK_OAT,carton,3.392000,3.392000,0.000000,MATCH
STI-2024-04-05-MILK_SOY,ST-2024-04-05,MILK_SOY,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-05-MILK_LACTOSE_FREE,ST-2024-04-05,MILK_LACTOSE_FREE,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-05-COFFEE_REGULAR,ST-2024-04-05,COFFEE_REGULAR,bag,2.096000,2.096000,0.000000,MATCH
STI-2024-04-05-CROISSANT,ST-2024-04-05,CROISSANT,each,4.000000,4.000000,0.000000,MATCH
STI-2024-04-05-EGGS,ST-2024-04-05,EGGS,each,100.000000,100.000000,0.000000,MATCH
STI-2024-04-06-MILK_FULL,ST-2024-04-06,MILK_FULL,bottle,21.719668,21.719668,0.000000,MATCH
STI-2024-04-06-MILK_SKIM,ST-2024-04-06,MILK_SKIM,bottle,6.000000,6.000000,0.000000,MATCH
STI-2024-04-06-MILK_ALMOND,ST-2024-04-06,MILK_ALMOND,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-06-MILK_OAT,ST-2024-04-06,MILK_OAT,carton,14.782000,14.782000,0.000000,MATCH
STI-2024-04-06-MILK_SOY,ST-2024-04-06,MILK_SOY,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-06-MILK_LACTOSE_FREE,ST-2024-04-06,MILK_LACTOSE_FREE,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-06-COFFEE_REGULAR,ST-2024-04-06,COFFEE_REGULAR,bag,7.489000,7.489000,0.000000,MATCH
STI-2024-04-06-CROISSANT,ST-2024-04-06,CROISSANT,each,42.000000,42.000000,0.000000,MATCH
STI-2024-04-06-EGGS,ST-2024-04-06,EGGS,each,59.000000,59.000000,0.000000,MATCH
STI-2024-04-07-MILK_FULL,ST-2024-04-07,MILK_FULL,bottle,4.628001,4.628001,0.000000,MATCH
STI-2024-04-07-MILK_SKIM,ST-2024-04-07,MILK_SKIM,bottle,6.000000,6.000000,0.000000,MATCH
STI-2024-04-07-MILK_ALMOND,ST-2024-04-07,MILK_ALMOND,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-07-MILK_OAT,ST-2024-04-07,MILK_OAT,carton,3.048000,3.048000,0.000000,MATCH
STI-2024-04-07-MILK_SOY,ST-2024-04-07,MILK_SOY,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-07-MILK_LACTOSE_FREE,ST-2024-04-07,MILK_LACTOSE_FREE,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-07-COFFEE_REGULAR,ST-2024-04-07,COFFEE_REGULAR,bag,5.070000,5.070000,0.000000,MATCH
STI-2024-04-07-CROISSANT,ST-2024-04-07,CROISSANT,each,1.000000,1.000000,0.000000,MATCH
STI-2024-04-07-EGGS,ST-2024-04-07,EGGS,each,29.000000,29.000000,0.000000,MATCH
STI-2024-04-08-MILK_FULL,ST-2024-04-08,MILK_FULL,bottle,19.863334,19.863334,0.000000,MATCH
STI-2024-04-08-MILK_SKIM,ST-2024-04-08,MILK_SKIM,bottle,6.000000,6.000000,0.000000,MATCH
STI-2024-04-08-MILK_ALMOND,ST-2024-04-08,MILK_ALMOND,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-08-MILK_OAT,ST-2024-04-08,MILK_OAT,carton,2.911000,2.911000,0.000000,MATCH
STI-2024-04-08-MILK_SOY,ST-2024-04-08,MILK_SOY,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-08-MILK_LACTOSE_FREE,ST-2024-04-08,MILK_LACTOSE_FREE,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-08-COFFEE_REGULAR,ST-2024-04-08,COFFEE_REGULAR,bag,2.316000,2.316000,0.000000,MATCH
STI-2024-04-08-CROISSANT,ST-2024-04-08,CROISSANT,each,22.000000,22.000000,0.000000,MATCH
STI-2024-04-08-EGGS,ST-2024-04-08,EGGS,each,229.000000,229.000000,0.000000,MATCH
STI-2024-04-09-MILK_FULL,ST-2024-04-09,MILK_FULL,bottle,17.216667,17.216667,0.000000,MATCH
STI-2024-04-09-MILK_SKIM,ST-2024-04-09,MILK_SKIM,bottle,6.000000,6.000000,0.000000,MATCH
STI-2024-04-09-MILK_ALMOND,ST-2024-04-09,MILK_ALMOND,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-09-MILK_OAT,ST-2024-04-09,MILK_OAT,carton,3.016000,3.016000,0.000000,MATCH
STI-2024-04-09-MILK_SOY,ST-2024-04-09,MILK_SOY,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-09-MILK_LACTOSE_FREE,ST-2024-04-09,MILK_LACTOSE_FREE,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-09-COFFEE_REGULAR,ST-2024-04-09,COFFEE_REGULAR,bag,7.711000,7.711000,0.000000,MATCH
STI-2024-04-09-CROISSANT,ST-2024-04-09,CROISSANT,each,11.000000,11.000000,0.000000,MATCH
STI-2024-04-09-EGGS,ST-2024-04-09,EGGS,each,205.000000,205.000000,0.000000,MATCH
STI-2024-04-10-MILK_FULL,ST-2024-04-10,MILK_FULL,bottle,15.268334,15.268334,0.000000,MATCH
STI-2024-04-10-MILK_SKIM,ST-2024-04-10,MILK_SKIM,bottle,6.000000,6.000000,0.000000,MATCH
STI-2024-04-10-MILK_ALMOND,ST-2024-04-10,MILK_ALMOND,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-10-MILK_OAT,ST-2024-04-10,MILK_OAT,carton,3.834000,3.834000,0.000000,MATCH
STI-2024-04-10-MILK_SOY,ST-2024-04-10,MILK_SOY,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-10-MILK_LACTOSE_FREE,ST-2024-04-10,MILK_LACTOSE_FREE,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-10-COFFEE_REGULAR,ST-2024-04-10,COFFEE_REGULAR,bag,5.176000,5.176000,0.000000,MATCH
STI-2024-04-10-CROISSANT,ST-2024-04-10,CROISSANT,each,4.000000,4.000000,0.000000,MATCH
STI-2024-04-10-EGGS,ST-2024-04-10,EGGS,each,181.000000,181.000000,0.000000,MATCH
STI-2024-04-11-MILK_FULL,ST-2024-04-11,MILK_FULL,bottle,12.549667,12.549667,0.000000,MATCH
STI-2024-04-11-MILK_SKIM,ST-2024-04-11,MILK_SKIM,bottle,6.000000,6.000000,0.000000,MATCH
STI-2024-04-11-MILK_ALMOND,ST-2024-04-11,MILK_ALMOND,carton,8.000000,8.000000,0.000000,MATCH
STI-2024-04-11-MILK_OAT,ST-2024-04-11,MILK_OAT,carton,2.939000,2.939000,0.000000,MATCH
STI-2024-04-11-MILK_SOY,ST-2024-04-11,MILK_SOY,carton,8.000000,8.000000,0.000000,MATCH
