stocktake_source_key,stocktake_datetime,stocktake_status,performed_by
ST-2024-04-01,2024-04-01T18:00:00+11:00,RECONCILED,Manager
ST-2024-04-02,2024-04-02T18:00:00+11:00,RECONCILED,Manager
ST-2024-04-03,2024-04-03T18:00:00+11:00,RECONCILED,Manager
ST-2024-04-04,2024-04-04T18:00:00+11:00,RECONCILED,Manager
ST-2024-04-05,2024-04-05T18:00:00+11:00,RECONCILED,Manager
ST-2024-04-06,2024-04-06T18:00:00+11:00,RECONCILED,Manager
ST-2024-04-07,2024-04-07T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-08,2024-04-08T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-09,2024-04-09T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-10,2024-04-10T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-11,2024-04-11T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-12,2024-04-12T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-13,2024-04-13T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-14,2024-04-14T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-15,2024-04-15T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-16,2024-04-16T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-17,2024-04-17T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-18,2024-04-18T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-19,2024-04-19T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-20,2024-04-20T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-21,2024-04-21T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-22,2024-04-22T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-23,2024-04-23T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-24,2024-04-24T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-25,2024-04-25T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-26,2024-04-26T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-27,2024-04-27T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-28,2024-04-28T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-29,2024-04-29T18:00:00+10:00,RECONCILED,Manager
ST-2024-04-30,2024-04-30T18:00:00+10:00,RECONCILED,Manager
